event_definition;coding_system;code;code_name;algo_name;comments;Finland;SAIL;EFEMERIS;Norway;SNDS;ARS;ER;event_abbreviation
Neuropathic pain;ICD10;G63;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;G99.0 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;M50.1 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;M51.1 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;M54.1 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;M54.2 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;M54.3 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;M54.4 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICPC2 ;S70 ;;algo_S5;;1;0;0;0;0;0;0;Neuropathic_pain_S5
Neuropathic pain;ICPC2 ;N92;;algo_S5;;1;0;0;0;0;0;0;Neuropathic_pain_S5
Neuropathic pain;Read codes;N248.;;algo_S5;;0;1;0;0;0;0;0;Neuropathic_pain_S5
Neuropathic pain;Read codes;N239. ;;algo_S5;;0;1;0;0;0;0;0;Neuropathic_pain_S5
Neuropathic pain;Read codes;N143.00 ;;algo_S5;;0;1;0;0;0;0;0;Neuropathic_pain_S5
Neuropathic pain;Read codes;N142000;;algo_S5;;0;1;0;0;0;0;0;Neuropathic_pain_S5
Neuropathic pain;ATC;J05AB01;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ATC;J05AB11 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ATC;J05AB09 ;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ATC;A10AD01;;algo_S5;;1;1;1;1;1;1;1;Neuropathic_pain_S5
Neuropathic pain;ICD10;M79;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;R52 ;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G35.9;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G50.0;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G50.1;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G53.0;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G54.4;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G54.6;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G55.0;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G55.1;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G56.0;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G56.2;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G56.4;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G56.9;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G57.0;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G57.1;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G57.8;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G57.9;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G58.0;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G58.7;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G58.8;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G62.9;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G63.2;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G82.1;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G95.0;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G95.2;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G95.8;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;G97.9;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;I69.1;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;I69.3;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;M48.0;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;M50.1;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;M53.0;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;M53.1;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;M54.1;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;M54.3;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;M54.4;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;M79.2;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICD10;M89.0;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ICPC2;N92;;algo_S6;;1;0;0;0;0;0;0;Neuropathic_pain_S6
Neuropathic pain;Read codes;F20;;algo_S6;;0;1;0;0;0;0;0;Neuropathic_pain_S6
Neuropathic pain;Read codes;N143.00 ;;algo_S6;;0;1;0;0;0;0;0;Neuropathic_pain_S6
Neuropathic pain;Read codes;N142000;;algo_S6;;0;1;0;0;0;0;0;Neuropathic_pain_S6
Neuropathic pain;ATC;A10AD01;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ATC;J05AB01;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ATC;J05AB11;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Neuropathic pain;ATC;J05AB09;;algo_S6;;1;1;1;1;1;1;1;Neuropathic_pain_S6
Gabapentin;ATC;N03AX12;;algo_M1;;;;;;;;;Gabapentin
Pregabalin;ATC;N03AX16;;algo_M1;;;;;;;;;Pregabalin
